Station Name,Latitude,Longitude,Bikes Available
Nelson St / Duncan St,43.648711,-79.389728,10
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,10
Queen St E / Sackville St,43.6561111,-79.36138888888888,5
Mill St / Tannery Rd,43.652219,-79.354455,24
Cherry St / Distillery Ln,43.650279,-79.356832,12
Queen St W / Spadina Ave,43.649147,-79.395504,10
Yonge St / Harbour St,43.643795,-79.375413,4
Willcocks St / St. George St,43.662085,-79.397735,0
Dundas St E / Parliament St,43.659575,-79.365769,7
51 Parliament St,43.65205,-79.362198,15
Queen's Park / Bloor St W,43.668456,-79.393899,0
Fort York Blvd / Bathurst St - SMART,43.639052,-79.399792,8
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,11
Queen St W / Cowan Ave,43.6409,-79.432837,15
Harbord St / Clinton St,43.660414,-79.415646,4
Central Tech  (Harbord St),43.661975,-79.407896,5
Roxton Rd / Harbord St,43.65905,-79.422988,0
Ulster St / Bathurst St,43.66,-79.4088888888889,8
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,5
Danforth Ave / Barrington Ave,43.688325,-79.300463,0
Pacific Ave / Glenlake Ave,43.65716,-79.46478,21
Broadview Subway Station,43.6772,-79.35858,5
Church St  / Wood St,43.662712,-79.379903,3
College Park - Gerrard Entrance,43.658938,-79.383518,0
Danforth Ave / Coxwell Ave,43.683378,-79.322961,8
12 Harbour St,43.6425636,-79.3762,3
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,9
Yonge St / Bloor St,43.669969,-79.386532,0
Dufferin Gate - SMART,43.633473,-79.425679,7
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,23
Bloor St W / Shaw St - SMART,43.662403,-79.423098,13
Concord Ave / Dewson St,43.656945,-79.424911,3
Hocken Ave / Vaughan Rd,43.6817346,-79.4184725,0
St Clair Ave W / Bathurst St.,43.683296,-79.418734,0
Queen St E / Nursewood Rd,43.673831,-79.281455,15
Kewbeach Ave / Kenilworth Ave,43.666325,-79.3014,15
Lakeview Ave / Harrison St (Green P) – SMART,43.651145,-79.423742,15
Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,17
Frederick St / King St E,43.651118,-79.369411,16
College St / Borden St,43.6571,-79.4056,10
Beverley  St / Dundas St W,43.652823,-79.393388,24
Bay St / St. Joseph St,43.665527,-79.387499,0
Gould St / Mutual St,43.6582,-79.3768,20
Riverdale Park North (Broadview Ave),43.671172,-79.354704,13
Danforth Ave / Ellerbeck St,43.677076,-79.35667,3
Pape Subway Station (Green P),43.680223,-79.344062,0
Danforth Ave / Gough Ave,43.678401,-79.346289,1
Danforth Ave / Lamb Ave,43.681991,-79.329455,1
King St W / Stafford St,43.6422222,-79.41111111111111,15
Bathurst St / Lennox St,43.663808,-79.410491,17
Bathurst Subway Station,43.6666667,-79.41166666666668,5
Bloor St W / Christie St,43.6638889,-79.41888888888889,9
Ossington Ave / Bloor St W,43.661705,-79.425734,2
Essex St / Christie St - SMART,43.6686111,-79.42027777777778,0
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,5
Havelock St / Dufferin Park,43.657343,-79.43112,5
Bathurst St / Adelaide St W,43.645324,-79.40345,16
Mill St / Parliament St,43.650256,-79.36163,12
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,16
80 Clinton St,43.656296,-79.414663,14
Claremont St / Dundas St W,43.651281,-79.411717,7
Rusholme Park Cres / College St,43.65277778,-79.42972222,15
College St / Crawford St,43.655,-79.418889,16
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15
Queen St E / Alton Av,43.663912,-79.327987,17
Simcoe St / Wellington St W North,43.6462176,-79.3855048,8
Coxwell Ave / Plains Rd,43.69595,-79.328535,7
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,5
Logan Ave / Bain Ave,43.6720273,-79.3470557,11
Liberty St / Fraser Ave Green P,43.637981,-79.424146,15
King St W / Douro St,43.640885,-79.416379,9
Queen St E / Berkeley St,43.6552778,-79.36583333333333,12
Howard St / Sherbourne St,43.6712581,-79.376367,1
Carlton St / Parliament St,43.664524,-79.36793,12
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,7
King St W / Bay St (East Side),43.648575,-79.380042,1
Front St W / Blue Jays Way,43.643473,-79.390477,1
Metro Hall Plaza,43.645859,-79.38783,4
Parliament St / Gerrard St E,43.662132,-79.3656796,1
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,9
Jarvis St / Carlton St,43.66207,-79.37617,0
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,10
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,14
Yonge St / Dundonald St - SMART,43.665801,-79.384796,2
Bay St / Charles St W - SMART,43.668153,-79.38891,0
Church St / Dundas St E - SMART,43.657024,-79.377257,0
Yonge St / Alexander St - SMART,43.662862,-79.383572,3
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,0
Balliol St / Yonge St  SMART,43.6978701,-79.39419,0
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,2
Front St E / Scott St,43.6476616,-79.37549,11
Frederick St / The Esplanade,43.6487245,-79.36839,19
King St W / Bay St (West Side),43.64852,-79.380576,18
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,7
King St W / Spadina Ave,43.645323,-79.395003,10
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,1
Queens Quay / Yonge St,43.641646,-79.375308,22
Front St W / Bay St (North Side),43.646162,-79.378912,9
Danforth Ave / Westlake Ave,43.687323,-79.304848,0
Jarvis St / Isabella St,43.668991,-79.379385,0
Yonge St / Wood St,43.6622222,-79.3825,1
King St W / Tecumseth St,43.64333333333333,-79.40555555555557,11
Beverley St / College St,43.6575,-79.39527777777778,17
Gould St / Yonge St (TMU),43.657424,-79.381019,15
Front St W / Bay St (South Side),43.64595,-79.378761,4
Charles St W / Balmuto St - SMART,43.668427,-79.38725,1
Charles St E / Jarvis St - SMART,43.669604,-79.381171,0
Queen St E / Pape Ave - SMART,43.661673,-79.337789,14
Gerrard St E / Broadview Ave  - SMART,43.665656,-79.352055,16
Humber Bay Shores Park East,43.6308933,-79.4722622,18
Humber Bay Shores Park West,43.6224434,-79.480284,30
Taddle Creek Park,43.66986,-79.398443,3
Thompson St / Broadview Ave - SMART,43.659471,-79.350325,7
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,2
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,3
King St W / Cowan Ave - SMART,43.637922,-79.431734,13
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,18
Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,2
Bloor St W / Manning Ave - SMART,43.663912,-79.416124,10
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,15
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,14
128 Sterling Rd - SMART,43.654004,-79.444792,9
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,14
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,8
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,0
Sumach St  / Queen St E,43.656638,-79.358749,7
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,3
Gerrard St E / Main St,43.684261,-79.299332,0
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,0
Neil McLellan Park,43.65143,-79.47779,7
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,6
Antler St / Campbell Ave - SMART,43.664182,-79.449066,1
Clarence Square,43.64407,-79.3929,3
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,14
Front St W / Simcoe St,43.6442,-79.38702,14
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,6
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,7
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,0
Church St / Lombard St,43.651678,-79.375233,14
Richmond St E / Yonge St,43.651838,-79.378743,7
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,2
Pottery Rd / Lower Don River Trail,43.688148,-79.362101,15
Bleecker St / St James Ave,43.669232,-79.374495,2
Western Battery Rd / Pirandello St,43.640075,-79.414156,17
Carlaw Ave / Danforth Ave,43.678285,-79.347346,2
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,1
Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,5
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,13
Trent Ave / Danforth Ave,43.689293,-79.295895,2
Orchard Park,43.66908,-79.3149,17
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,12
Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,24
Concord Ave / Bloor St W,43.66189,-79.42679,2
Gothic Ave / Quebec Ave,43.65389,-79.4675,11
Via Italia / Mackay Ave,43.676697,-79.445029,1
Rushton Rd / St Clair Ave W,43.68114,-79.4277,0
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,13
Gerrard St E / Leslie St,43.669813,-79.3335,22
Marilyn Bell Park Tennis Court,43.633537,-79.437461,9
The Queensway at South Kingsway,43.63632,-79.47307,22
Merton St / Mount Pleasant Rd,43.697819,-79.38786,0
Tyndall Ave / King St W - SMART,43.638426,-79.429142,15
College Park - Yonge St Entrance,43.65988,-79.38279,4
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,3
Keele St / Annette St,43.66402,-79.46418,3
Keele St / Vine Ave,43.66686,-79.46526,3
Howard St / Rose Ave,43.671278,-79.372127,0
